Date,Open,High,Low,Close,Adj Close,Volume
10/25/2004,140.625,140.875,138.845001,139.669998,73.657158,9390272
10/26/2004,139.449997,142.619995,139.449997,142.149994,74.965019,6932760
10/27/2004,142.783005,143.5,141.899994,142.488007,75.143265,7837656
10/28/2004,143.125,146.850006,143.125,145.744995,78.513954,18591416
10/29/2004,145.994995,145.994995,143.145004,144.533005,77.861076,8661776
11/1/2004,143.75,146.807007,142.787994,146.332993,78.830704,6137568
11/2/2004,141.25,147.470001,140.625,144.962006,78.092186,8864040
11/3/2004,145.125,148,145.125,146.899994,79.136169,8978136
11/4/2004,147.720001,148.488007,145.962006,146.300003,78.812965,6555808
11/5/2004,146.744995,147.5,145,145.682007,78.480049,5023848
11/8/2004,145.625,148.613007,144.5,148.020004,79.739525,10291728
11/9/2004,148.375,149.738007,147.125,148.550003,80.02507,7338712
11/10/2004,148.875,149.875,148.761993,149.294998,80.426392,5734392
11/11/2004,149.875,150.425003,148.886993,149.533005,80.554588,5235128
11/12/2004,150.5,151,148.774994,149.595001,80.588005,1813408
11/15/2004,null,null,null,149.595001,null,null
11/16/2004,149.75,149.75,148,148.863007,80.19368,4005504
11/17/2004,148.938004,151.238007,148.938004,150.675003,81.169807,5467936
11/18/2004,151.182007,154.320007,150.811996,153.875,82.893661,7472128
11/19/2004,154.125,154.625,151.386993,152.136993,81.95739,6812760
11/22/2004,150.975006,153.25,149.375,152.807007,82.318352,4738272
11/23/2004,153.824997,155.25,153.020004,154.445007,83.200722,4312792
11/24/2004,154.875,155.625,153.770004,154.238007,83.089203,3223304
11/25/2004,154.25,155.5,151.082993,152.106995,81.941231,6310872
11/26/2004,null,null,null,152.106995,null,null
11/29/2004,152,155.962006,150.695007,155.488007,83.762573,5281488
11/30/2004,156.020004,160.75,155.625,159.332993,85.833916,10508144
12/1/2004,160.125,160.125,157.125,157.695007,84.951515,8481864
12/2/2004,158.125,159.625,154.886993,155.324997,83.674767,9657704
12/3/2004,156.158005,156.988007,152.695007,154.595001,83.281555,9777216
12/6/2004,155,156.25,151.061996,151.820007,81.786613,11473872
12/7/2004,152,154.113007,151.875,152.283005,82.036034,7863224
12/8/2004,152.25,153.324997,149.507996,150.100006,80.860062,7329408
12/9/2004,150.619995,152.125,150.606995,151.432007,81.577591,3801224
12/10/2004,152.5,154.438004,151.75,153.207993,82.534325,6216808
12/13/2004,153.25,155.207993,153.158005,154.520004,83.241119,4996232
12/14/2004,155.25,155.587006,153.787994,154.145004,83.039101,3083504
12/15/2004,155.5,156.845001,154.75,155.688004,83.870346,5772672
12/16/2004,156.057007,158.125,154.75,157.832993,85.025864,4350464
